Curso["Habilitação", "3476", "HISTÓRIA                                                              "]
["Nível", "2", "GR"]
["Currículo vigente em", "20171", ""]
["Reconhecida pelo MEC", "Sim", ""]
["Duração", "Plena", ""]
["Créditos por período", "Mínimo 12", "Máximo 28"]
["Limite de permanência semestral", "Mínimo 8", "Máximo 14"]
["Créditos exigidos", "197", ""]
["Módulo livre", "24", ""]
Obrigatórias
[Código, Disciplina, Créditos, Área]
["", "202681", "ÉTICA FILOSÓFICA                ", "004 002 000 004", "DC"]
["", "206512", "FILOSOFIA ANTIGA                ", "004 002 000 000", "DC"]
["", "100609", "FILOSOFIA CONTEMPORÂNEA         ", "004 002 000 000", "DC"]
["", "207624", "FILOSOFIA DA CIÊNCIA            ", "004 002 000 000", "DC"]
["", "191108", "FILOSOFIA DA EDUCAÇÃO           ", "004 000 000 002", "AC"]
["", "137995", "FILOSOFIA DA RELIGIÃO           ", "004 000 000 004", "AC"]
["", "102539", "FILOSOFIA GERAL E METAFÍSICA    ", "004 002 000 000", "DC"]
["", "206491", "FILOSOFIA MEDIEVAL              ", "004 002 000 000", "DC"]
["", "207608", "FILOSOFIA MODERNA               ", "004 002 000 000", "DC"]
["", "206482", "FILOSOFIA POLÍTICA              ", "004 002 000 000", "DC"]
["", "205877", "FRANCÊS 1                       ", "004 000 000 004", "DC"]
["", "205885", "FRANCÊS 2                       ", "004 000 000 004", "DC"]
["", "194701", "FUND DA LING MUS NA EDUCAÇÃO    ", "002 002 000 004", "AC"]
["", "146315", "FUND LIT BRASIL CONTEMPORANEA   ", "004 000 000 004", "DC"]
["", "195189", "GÊNERO E EDUCAÇÃO               ", "004 000 000 004", "AC"]
["", "138312", "GEOGRAFIA DO MEIO AMBIENTE      ", "002 002 000 002", "AC"]
["", "138266", "GEOGRAFIA HUMANA 1              ", "002 002 000 004", "DC"]
["", "181218", "GOV E ADMINISTRACAO NO BRASIL   ", "004 000 000 004", "DC"]
["", "140643", "GREGO 1                         ", "004 000 000 004", "DC"]
["", "140601", "GREGO 2                         ", "004 000 000 004", "DC"]
["", "147966", "GREGO MODERNO 1                 ", "004 000 000 000", "DC"]
["", "147991", "GREGO MODERNO 2                 ", "004 000 000 000", "AC"]
["", "139017", "HIST AM NORTE C CONTEMPORÂNEO   ", "003 001 000 004", "AC"]
["", "206393", "HIST CONTEMP DOS EUA            ", "002 000 000 002", "AC"]
["", "139947", "HIST DA ÁFRICA PRÉ-COLONIAL     ", "004 000 000 004", "AC"]
["", "203548", "HIST E HISTORI MODERNA          ", "003 001 000 004", "AC"]
["", "206385", "HIST E HISTORIOGRAFIA BRASIL    ", "004 000 000 004", "AC"]
["", "200484", "HIST HISTORI MULH NO  BRASIL    ", "003 001 000 004", "AC"]
["", "150754", "HIST HISTORIOG CONTEMPORÂNEA    ", "003 001 000 004", "AC"]
["", "196185", "HISTÓRIA  FILOSOFIA DA CIÊNCIA  ", "004 000 000 002", "DC"]
["", "196819", "HISTÓRIA  FILOSOFIA DA CIÊNCIA  ", "004 000 000 000", "DC"]
["", "101524", "HISTÓRIA  LITERATURA NO BRASIL  ", "003 001 000 004", "AC"]
["", "139432", "HISTÓRIA ANTIGA 3               ", "004 000 000 004", "AC"]
["", "139009", "HISTÓRIA CONTEMPORÂNEA 3        ", "004 000 000 004", "AC"]
["", "139815", "HISTÓRIA CONTEMPORÂNEA 4        ", "004 000 000 004", "AC"]
["", "101541", "HISTÓRIA CULTURA E IDENTIDADES  ", "003 001 000 004", "AC"]
["", "133221", "HISTÓRIA CULTURAL               ", "003 001 000 004", "AC"]
["", "101486", "HISTÓRIA D ÁFRICA INDEPENDENTE  ", "003 001 000 004", "AC"]
["", "100803", "HISTÓRIA DA ÁFRICA COLONIAL     ", "003 001 000 004", "AC"]
["", "139688", "HISTÓRIA DA AMAZÔNIA            ", "003 001 000 004", "AC"]
["", "139335", "HISTÓRIA DA AMÉRICA 3           ", "004 000 000 004", "AC"]
["", "101575", "HISTÓRIA DA ARGENTINA           ", "003 001 000 004", "AC"]
["", "154971", "HISTORIA DA ARTE ANTIGA         ", "004 000 000 002", "DC"]
["", "157651", "HISTORIA DA ARTE CONTEMPORANEA  ", "004 000 000 002", "DC"]
["", "157635", "HISTORIA DA ARTE MEDIEVAL       ", "004 000 000 002", "DC"]
["", "157643", "HISTORIA DA ARTE MODERNA        ", "004 000 000 002", "DC"]
