Curso["Habilitação", "1856", "CIÊNCIA DA COMPUTAÇÃO                                                 "]
["Nível", "2", "GR"]
["Currículo vigente em", "20160", ""]
["Reconhecida pelo MEC", "Sim", ""]
["Duração", "Plena", ""]
["Créditos por período", "Mínimo 16", "Máximo 30"]
["Limite de permanência semestral", "Mínimo 8", "Máximo 14"]
["Créditos exigidos", "214", ""]
["Módulo livre", "24", ""]
Obrigatórias
[Código, Disciplina, Créditos, Área]
["", "113328", "GEOMETRIA DIFERENCIAL 1         ", "004 000 000 004", "AC"]
["", "117200", "GERENCIA DE REDES               ", "002 002 000 000", "AC"]
["", "116858", "INFORMATICA APLIC A EDUCACAO    ", "002 002 000 004", "AC"]
["", "116718", "INFORMATICA NAS ORGANIZACOES    ", "004 000 000 004", "AC"]
["", "145971", "INGLÊS INSTRUMENTAL 1           ", "002 002 000 004", "DC"]
["", "142573", "INGLÊS INSTRUMENTAL 2           ", "002 002 000 004", "AC"]
["", "316024", "INTELIGÊNCIA ARTIFICIAL 1       ", "004 000 000 004", "AC"]
["", "316032", "INTELIGÊNCIA ARTIFICIAL 2       ", "004 000 000 004", "AC"]
["", "117587", "INTERAÇÃO HUM COMPUTADOR        ", "004 000 000 004", "AC"]
["", "170054", "INTR A ATIVIDADE EMPRESARIAL    ", "002 002 000 002", "AC"]
["", "117129", "INTRO A COMPUTACAO ALGEBRICA    ", "004 000 000 006", "AC"]
["", "113433", "INTRO A PROGRAMACAO LINEAR      ", "002 002 000 002", "DC"]
["", "117544", "INTROD A SISTEMAS MULTIAGENTES  ", "002 002 000 000", "AC"]
["", "117552", "INTROD AO DESENV DE JOGOS       ", "004 000 000 000", "AC"]
["", "199290", "INTROD AOS EST FUTURO BRASIL    ", "004 000 000 002", "AC"]
["", "117315", "INTROD. À PROGRAMAÇÃO PARALELA  ", "004 000 000 004", "AC"]
["", "199486", "INTRODUÇÃO A GESTÃO AMBIENTAL   ", "004 000 000 004", "AC"]
["", "134465", "INTRODUÇÃO À SOCIOLOGIA         ", "004 000 000 004", "DC"]
["", "113930", "INTRODUCAO A TEORIA DOS GRAFOS  ", "004 000 000 004", "DC"]
["", "117242", "INTRODUCAO AO PROC DE IMAGENS   ", "002 002 000 004", "AC"]
["", "116491", "INTRODUCAO COMPUTACAO SONICA    ", "004 000 000 004", "AC"]
["", "140481", "LEITURA E PRODUÇÃO DE TEXTOS    ", "002 002 000 004", "DC"]
["", "150649", "LÍNGUA SINAIS BRAS - BÁSICO     ", "002 002 000 002", "DC"]
["", "113948", "LINGUAGENS FORMAIS E AUTOMATOS  ", "004 000 000 004", "AC"]
["", "137481", "LÓGICA 1                        ", "004 000 000 004", "AC"]
["", "117374", "LÓGICA COMPUTACIONAL 2          ", "002 002 000 004", "AC"]
["", "117358", "LÓGICA MAT E COMPUTACIONAL      ", "004 000 000 004", "DC"]
["", "121614", "MÉTODOS DE PESQUISA LIC COMPUT  ", "002 000 000 002", "AC"]
["", "121614", "MÉTODOS DE PESQUISA LIC COMPUT  ", "002 000 000 002", "AC"]
["", "204374", "MODEL SISTEMAS COMPUTACIONAIS   ", "002 002 000 004", "AC"]
["", "117595", "PRINC DE VIS COMPUTACIONAL      ", "004 000 000 004", "AC"]
["", "116483", "PRINCIPIOS COMPUTACAO GRAFICA   ", "004 000 000 004", "DC"]
["", "117609", "PROCES DE SINAIS MULTIMÍDIA     ", "004 000 000 000", "AC"]
["", "316431", "PROCESSAMENTO ALTO DESEMPENHO   ", "004 000 000 004", "AC"]
["", "116947", "PROGRAMAÇÃO COMPETITIVA         ", "002 002 000 004", "AC"]
