Curso["Habilitação", "8117", "ADMINISTRAÇÃO                                                         "]
["Nível", "2", "GR"]
["Currículo vigente em", "20172", ""]
["Reconhecida pelo MEC", "Sim", ""]
["Duração", "Plena", ""]
["Créditos por período", "Mínimo 12", "Máximo 28"]
["Limite de permanência semestral", "Mínimo 8", "Máximo 16"]
["Créditos exigidos", "200", ""]
["Módulo livre", "24", ""]
Obrigatórias
[Código, Disciplina, Créditos, Área]
["", "181196", "ADMINISTRAÇÃO DE MARKETING      ", "004 000 000 004", "AC"]
["", "181307", "ADMINISTRAÇÃO PRODUÇ OPERAÇÕES  ", "004 000 000 004", "AC"]
["", "202134", "ADMINISTRAÇÃO SIST INFORMAÇÃO   ", "004 000 000 004", "AC"]
["", "181064", "ANÁLISE DE DECISÕES 1           ", "002 002 000 004", "AC"]
["", "202380", "ANÁLISE ORG, SISTEM E MÉTODOS   ", "004 000 000 004", "AC"]
["", "113034", "CÁLCULO 1                       ", "002 004 000 006", "AC"]
["", "186201", "CALCULO FINANCEIRO              ", "004 000 000 004", "AC"]
["", "186457", "COMPORTAMENTO ORGANIZACIONAL    ", "004 000 000 004", "AC"]
["", "202126", "ELABORAÇÃO TRABALHO DE CURSO    ", "004 000 000 004", "AC"]
["", "115011", "ESTATÍSTICA APLICADA            ", "004 002 000 006", "DC"]
["", "186040", "ESTRATEGIA EMPRESARIAL          ", "004 000 000 004", "AC"]
["", "181145", "FINANÇAS 1                      ", "004 000 000 004", "AC"]
["", "200794", "FUNDAMENTOS DA ADM PÚBLICA      ", "004 000 000 004", "AC"]
["", "181081", "GESTÃO PESSOAS ORGANIZAÇÕES     ", "004 000 000 004", "AC"]
["", "184021", "INST DE DIR PÚBLICO E PRIVADO   ", "004 000 000 004", "DC"]
["", "181013", "INTRODUÇÃO À ADMINISTRAÇÃO      ", "004 000 000 004", "AC"]
["", "185035", "INTRODUÇÃO À CIÊNCIA POLÍTICA   ", "004 000 000 004", "DC"]
["", "186791", "INTRODUÇÃO À CONTABILIDADE      ", "004 000 000 006", "AC"]
["", "132012", "INTRODUÇÃO À ECONOMIA           ", "004 000 000 005", "DC"]
["", "186384", "INTRODUÇÃO T ORGANIZACIONAIS    ", "004 000 000 004", "AC"]
["", "181188", "LOGÍSTICA EMPRESARIAL           ", "004 000 000 004", "AC"]
["", "186198", "MACROECONOMIA APLICADA          ", "004 000 000 004", "AC"]
["", "186236", "METODOLOGIA CIENTÍFIC APLICADA  ", "004 000 000 004", "AC"]
["", "181102", "MÉTODOS E MOD QUAN D DECISÃO 1  ", "004 000 000 004", "AC"]
["", "186180", "MICROECONOMIA APLICADA          ", "004 000 000 004", "AC"]
["", "186805", "PROJETO PESQUISA ADMINISTRAÇÃO  ", "004 000 000 004", "AC"]
["", "134601", "SOCIOLOGIA APL À ADMINISTRAÇÃO  ", "004 000 000 004", "DC"]
Optativas
[Código, Disciplina, Créditos, Área]
["", "202398", "ABORDAGENS C EST ORGANIZAÇÕES   ", "004 000 000 004", "AC"]
["", "181692", "ADM FINAN E CONTAB PUBLICA      ", "004 000 000 004", "AC"]
["", "202304", "ADMINISTR REC MAT PATRIMONIAIS  ", "004 000 000 004", "AC"]
["", "202363", "ADMINISTRAÇÃO DA QUALIDADE      ", "004 000 000 004", "AC"]
["", "186112", "ADMINISTRACAO PUBL COMPARADA    ", "004 000 000 004", "AC"]
["", "186091", "ADMINISTRAÇÃO SER SET PÚBLICO   ", "004 000 000 004", "AC"]
["", "113123", "ALGEBRA LINEAR                  ", "006 000 000 006", "AC"]
["", "186350", "ANALISE DA LIQUIDEZ             ", "004 000 000 004", "AC"]
["", "202142", "ANÁLISE DE DECISÕES 2           ", "004 000 000 004", "AC"]
["", "181242", "ANÁLISE ECONÔMICO-FINANCEIRA 1  ", "004 000 000 004", "AC"]
["", "181242", "ANÁLISE ECONÔMICO-FINANCEIRA 1  ", "004 000 000 004", "AC"]
["", "186261", "ANÁLISE ECONÔMICO-FINANCEIRA 2  ", "004 000 000 004", "AC"]
["", "124451", "ANÁLISE ORGANIZACIONAL          ", "002 002 000 004", "AC"]
